,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
4202,47,6,28,17,3,0.9085478887744594,0.8171078059470596,4490,4332,472,416,0.9700481882029955,0.9694849493670055
8429,3,43,2,baseline,14,0.9085478887744594,0.8170752750768194,4473,4349,455,433,0.9697573117320021,0.9690242961803032
7473,17,5,3,2,1,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.9699967634662376,0.9694657081765033
6067,6,17,baseline,1,57,0.9085478887744594,0.8170735351549772,4466,4356,448,440,0.9698870616041191,0.9694684260010084
5195,47,35,27,baseline,57,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9695506156881767,0.968935304685161
5190,47,35,27,2,baseline,0.9085478887744594,0.8170991504193837,4487,4335,469,419,0.9696787108039129,0.9689970664880627
6772,28,17,43,baseline,14,0.9085478887744594,0.8170740843864035,4471,4351,453,435,0.9699959997325234,0.9694980778989535
6771,28,17,43,baseline,57,0.9085478887744594,0.8170746103696223,4472,4350,454,434,0.9698428923376463,0.9692884093839796
5178,47,35,62,57,14,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9698438045751383,0.9692761122135476
5161,47,35,62,31,1,0.9085478887744594,0.8170917443417448,4484,4338,466,422,0.9701745012733987,0.9696780854396925
5174,47,35,62,baseline,57,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9697286717177185,0.9691630353955744
6087,6,35,5,62,14,0.9085478887744594,0.8170917443417448,4484,4338,466,422,0.9698799334227863,0.9693908869207915
5170,47,35,62,2,1,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9700534282648683,0.9695456303286399
6094,6,35,5,27,14,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.9696909941878168,0.9691227840168517
4221,47,6,28,35,57,0.9085478887744594,0.8171047819290347,4489,4333,471,417,0.9698153979239341,0.9692280848597803
6947,28,35,baseline,1,57,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9697548508122562,0.969266197650025
6097,6,35,5,31,baseline,0.9085478887744594,0.8171018967560837,4488,4334,470,418,0.9698447592422811,0.9692819487271745
