,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
8547,31,43,2,baseline,1,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9702104391876183,0.9695810316375326
1557,34,28,3,27,1,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.969987004646556,0.9694758232760576
6261,6,5,3,43,14,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9699570068834471,0.9693738201411585
6903,28,35,27,43,1,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.969945996389067,0.9693962054250679
8549,31,43,2,baseline,14,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9700566104886776,0.9693540665239802
726,34,47,28,1,57,0.9080329557157569,0.8160486312892532,4474,4343,461,432,0.9702474166282818,0.9698532790385258
3977,37,5,43,1,57,0.9080329557157569,0.8160443000261504,4469,4348,456,437,0.97004466654198,0.969618503762204
5732,6,28,3,62,31,0.9080329557157569,0.8160651583850399,4483,4334,470,423,0.9700189753884264,0.9693639783250889
5733,6,28,3,62,43,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9699367679400202,0.9692436830790883
4019,37,3,27,31,2,0.9080329557157569,0.8160731626629456,4486,4331,473,420,0.9698059361118079,0.9689525926394253
3962,37,5,31,2,57,0.9080329557157569,0.8160703559163471,4485,4332,472,421,0.9699686113929382,0.9693460140439368
7205,28,62,2,1,14,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9701522681363846,0.9696825319039378
3193,37,6,2,1,14,0.9080329557157569,0.8160564269396747,4479,4338,466,427,0.9701180698378474,0.9695635023178106
170,34,37,6,27,2,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9698970750017057,0.9692506326186918
3390,37,28,3,43,14,0.9080329557157569,0.8160486312892532,4474,4343,461,432,0.9699205810282436,0.9692800713983726
6871,28,35,62,27,1,0.9080329557157569,0.8160703559163471,4485,4332,472,421,0.9698684562022476,0.9693685888615395
7781,35,5,3,62,1,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.9699419443574164,0.9694779904802358
949,34,47,62,2,baseline,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9700725003928987,0.9695308544048094
3356,37,28,5,2,1,0.9080329557157569,0.8160857763945263,4490,4327,477,416,0.9701524802846384,0.9696858055026536
7225,28,27,31,57,14,0.9080329557157569,0.8160584018686271,4480,4337,467,426,0.969832030347044,0.9691751939160559
6876,28,35,62,31,baseline,0.9080329557157569,0.8160761080750409,4487,4330,474,419,0.9699246330598941,0.9693457525508232
7780,35,5,3,62,baseline,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9697449859184476,0.9692272631105976
7660,17,62,27,43,14,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9700152627939822,0.9695173704506145
3418,37,28,62,43,14,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9700334863289968,0.9694799373886425
7763,17,43,2,baseline,14,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.970043096644901,0.9694429082318944
6131,6,35,3,31,43,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.9699554157715424,0.9691956791210031
6906,28,35,27,2,baseline,0.9080329557157569,0.816067687826542,4484,4333,471,422,0.9696642422929934,0.96897510205482
