,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
1819,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,no-easy-95pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9084449021627189,0.8168696509336263,4473,4348,456,433,0.9701560868049557,0.9697993101293829
925,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-25pct,hardest-interleaved-10pct,no-hard-95pct,0.9084449021627189,0.8168696509336263,4473,4348,456,433,0.9705165691180707,0.9698881302973917
5155,easiest-interleaved-25pct,hardest-interleaved-50pct,no-easy-95pct,no-easy-90pct,no-hard-95pct,0.9084449021627189,0.8168715326207686,4475,4346,458,431,0.9699931357310951,0.9692040947466872
4881,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,no-easy-90pct,no-hard-95pct,0.9084449021627189,0.8168683240355071,4471,4350,454,435,0.9700585198229631,0.9693624204561939
1938,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.8168674337158478,4466,4355,449,440,0.9706745347079634,0.9702455122072113
824,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-50pct,no-easy-90pct,easiest-interleaved-50pct,0.9084449021627189,0.8168689181387296,4472,4349,455,434,0.9703856948602079,0.969852711185225
1840,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,no-easy-90pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9084449021627189,0.8168696509336263,4473,4348,456,433,0.9701560868049557,0.9697993101293829
7584,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9084449021627189,0.8168709411816163,4460,4361,443,446,0.9705551164558139,0.9701900025927138
1931,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.8168674337158478,4466,4355,449,440,0.9706745347079634,0.9702455122072113
6160,baseline,hardest-interleaved-50pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.9084449021627189,0.8168705224257256,4474,4347,457,432,0.9703048451606269,0.9699170522437618
817,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,hardest-interleaved-50pct,no-easy-95pct,easiest-interleaved-50pct,0.9084449021627189,0.8168689181387296,4472,4349,455,434,0.9703856948602079,0.969852711185225
