,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
1862,6,35,62,baseline,0.9074150360453141,0.814822272378637,4477,4334,470,429,0.9697278231247027,0.9692377192040503
2686,35,27,2,1,0.9074150360453141,0.814822272378637,4477,4334,470,429,0.9696959372421339,0.9690398918474804
2811,5,27,baseline,14,0.9074150360453141,0.8148184800155064,4475,4336,468,431,0.9696443003571218,0.9691506354639914
361,34,28,62,2,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.9699813402881754,0.9694136378545215
726,37,47,35,baseline,0.9074150360453141,0.8148725474353196,4493,4318,486,413,0.9697625730087001,0.9692163915638291
1161,37,62,27,57,0.9074150360453141,0.8148095657339205,4468,4343,461,438,0.9694298184723764,0.9687498951701115
2676,35,27,31,baseline,0.9074150360453141,0.8148315180440784,4481,4330,474,425,0.96960984748068,0.9689043507406435
1552,47,5,27,57,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9697189128980368,0.9692228988639067
998,37,17,27,14,0.9074150360453141,0.8148266183675407,4479,4332,472,427,0.9698659528528509,0.9693411018279657
278,34,6,3,57,0.9074150360453141,0.8148092533774169,4457,4354,450,449,0.9697075629664502,0.9691538684935108
2792,5,62,1,14,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9701355084243223,0.9698256569982148
2662,35,62,43,57,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9696416060742967,0.9689729511808362
1164,37,62,31,2,0.9074150360453141,0.8148495398689853,4487,4324,480,419,0.9699839497116989,0.9692639629820367
342,34,28,5,31,0.9074150360453141,0.8148429787244588,4485,4326,478,421,0.9701956736691429,0.9697140087565947
341,34,28,5,27,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.969901657403991,0.969466359219823
2787,5,62,2,14,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9699213235471325,0.9694324425458294
326,34,28,17,57,0.9074150360453141,0.8148095657339205,4468,4343,461,438,0.9700101712358874,0.9695357730122773
1542,47,5,62,2,0.9074150360453141,0.8148429787244588,4485,4326,478,421,0.9700175752099504,0.9695355232608714
1729,6,28,3,27,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9696001098758238,0.9688744606159327
2154,28,35,27,2,0.9074150360453141,0.8148429787244588,4485,4326,478,421,0.9695735701292543,0.968814603832648
2091,28,17,62,43,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9701147815399112,0.9696085157949941
2088,28,17,3,14,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.9699301064848459,0.9693462529085064
2842,5,2,baseline,14,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9698020325839352,0.9692167944807164
2633,35,3,43,1,0.9074150360453141,0.8148138293921571,4472,4339,465,434,0.9698378432092023,0.9692129718635975
2615,35,3,62,1,0.9074150360453141,0.814822272378637,4477,4334,470,429,0.9697880732288252,0.969270353417981
2737,5,3,62,14,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9698292087752665,0.9693196653639407
1856,6,35,3,57,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9694559551372632,0.9687801624168493
286,34,6,62,57,0.9074150360453141,0.8148073205669941,4462,4349,455,444,0.9698301210127586,0.9694019419306856
970,37,17,5,2,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9700119532812206,0.969479931485937
2733,5,3,62,2,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9697773385271753,0.9691333054697758
2216,28,5,2,1,0.9074150360453141,0.8148530281747784,4488,4323,481,418,0.9701227370994343,0.9696587639095064
307,34,6,2,1,0.9074150360453141,0.8148088457021317,4467,4344,460,439,0.9701184941343555,0.9696307155595234
236,34,6,28,57,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9698598429831372,0.9694017660072658
1018,37,17,1,14,0.9074150360453141,0.8148184800155064,4475,4336,468,431,0.9702062386521899,0.9698129369680479
1177,37,62,2,14,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9698771542806596,0.9692630858581114
1153,37,3,1,57,0.9074150360453141,0.8148125559360707,4471,4340,464,435,0.9697705922126995,0.9692370953417115
2213,28,5,43,57,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9698137643823785,0.9692964176867273
2640,35,3,baseline,1,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9697157943187036,0.9691667002651912
2143,28,35,3,14,0.9074150360453141,0.814822272378637,4477,4334,470,429,0.9696690792731836,0.9689815844979177
2649,35,62,27,baseline,0.9074150360453141,0.8148138293921571,4472,4339,465,434,0.9694744120353572,0.9688904413366746
377,34,28,31,57,0.9074150360453141,0.8148095657339205,4468,4343,461,438,0.9700108713251254,0.969424565690795
1586,47,3,27,baseline,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9697070325958155,0.9690897137003789
2632,35,3,43,baseline,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9696374267536939,0.968920433871488
2560,17,2,57,14,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9698173921175213,0.9692197551646063
2865,3,62,43,1,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9699582161284945,0.9694157653907516
1112,37,5,2,57,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9697357574694005,0.9691233090700451
2330,28,43,baseline,57,0.9074150360453141,0.8148095657339205,4468,4343,461,438,0.9697489743056218,0.96915155294566
1976,6,62,27,43,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9697475316974951,0.9690607285636751
2329,28,43,baseline,1,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.9701024132967058,0.9696415423220763
1981,6,62,27,14,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9697183400977512,0.9691307571398863
901,37,28,5,27,0.9074150360453141,0.8148399058668664,4484,4327,477,422,0.9697491864538759,0.9692245510614985
1670,47,31,baseline,57,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.9698806547268498,0.9692738578437144
2455,17,3,27,2,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9696370448868367,0.9688856377859626
1094,37,5,27,2,0.9074150360453141,0.8148266183675407,4479,4332,472,427,0.969681723309119,0.9689910037216608
1346,47,28,35,27,0.9074150360453141,0.8148566549825174,4489,4322,482,417,0.9697835756858414,0.9691707482351668
1905,6,5,62,43,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9700411448809645,0.9696138125480478
1901,6,5,3,57,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9695893539593484,0.9690199159070144
1996,6,62,2,14,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.9699257362308146,0.9693548385608796
2310,28,31,43,2,0.9074150360453141,0.8148289989908565,4480,4331,473,426,0.9700647569816294,0.9692625215765888
1998,6,62,baseline,57,0.9074150360453141,0.8148073205669941,4462,4349,455,444,0.9696632451962,0.9691709332522139
2943,62,27,43,57,0.9074150360453141,0.8148076787673768,4460,4351,453,446,0.9695004850557678,0.968718978108503
2487,17,62,27,14,0.9074150360453141,0.8148138293921571,4472,4339,465,434,0.9698551120770741,0.9694041505178557
2304,28,27,baseline,1,0.9074150360453141,0.8148266183675407,4479,4332,472,427,0.9698385008687895,0.9693688861765599
2007,6,27,31,57,0.9074150360453141,0.8148203069975839,4476,4335,469,430,0.969634753685694,0.9689537201791513
2494,17,62,43,2,0.9074150360453141,0.8148073489407818,4463,4348,456,443,0.970057162074138,0.9694604794873816
1686,47,2,baseline,57,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.969740445945813,0.9690798455370279
1747,6,28,27,2,0.9074150360453141,0.8148315180440784,4481,4330,474,425,0.9696929671665784,0.9689868208604815
1691,47,baseline,1,57,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9699759305076996,0.9695736499583468
925,37,28,62,14,0.9074150360453141,0.8148266183675407,4479,4332,472,427,0.96987931819285,0.969353180970296
607,34,62,31,57,0.9074150360453141,0.8148073205669941,4462,4349,455,444,0.9699515334584952,0.9693750543503932
2374,17,35,27,2,0.9074150360453141,0.8148203069975839,4476,4335,469,430,0.9696623753883586,0.96900249131662
1949,6,3,27,2,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9695161203820839,0.968650215138618
1046,37,35,62,14,0.9074150360453141,0.8148289989908565,4480,4331,473,426,0.9697868215541269,0.9692101865926175
3047,43,2,baseline,14,0.9074150360453141,0.8148095657339205,4468,4343,461,438,0.9698510600454234,0.9691747709569264
1053,37,35,27,14,0.9074150360453141,0.814834175535469,4482,4329,475,424,0.9695915178715387,0.9688873987717112
1392,47,28,31,57,0.9074150360453141,0.8148399058668664,4484,4327,477,422,0.9700072860196337,0.9693761222242276
587,34,3,2,1,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9700306435423938,0.9694189913431231
3034,31,43,57,14,0.9074150360453141,0.8148082640121154,4466,4345,459,440,0.969929724617989,0.9692079075216127
