,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
338,47,27,57,0.9071060762100926,0.814203210042889,4475,4333,471,431,0.9693649435363179,0.9686959977753065
686,5,2,baseline,0.9071060762100926,0.8142097142365492,4478,4330,474,428,0.9694578008270727,0.9687746850451958
604,35,5,57,0.9071060762100926,0.8141979505291134,4472,4336,468,434,0.9693040357726084,0.9687160097437593
681,5,43,2,0.9071060762100926,0.8141995654147763,4473,4335,469,433,0.9697039352313077,0.9690372461792641
426,6,27,2,0.9071060762100926,0.814195135580183,4470,4338,466,436,0.9693077483670525,0.9684673035859787
522,28,2,57,0.9071060762100926,0.8141964739198045,4471,4337,467,435,0.9694229872985992,0.9686892159812338
804,43,1,14,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.9699891473439208,0.9695778253215683
247,37,2,1,0.9071060762100926,0.8142147419567765,4480,4328,476,426,0.9698342366888852,0.9692435091091194
615,35,62,27,0.9071060762100926,0.814203210042889,4475,4333,471,431,0.9692606726695004,0.9685191616891864
672,5,27,1,0.9071060762100926,0.814203210042889,4475,4333,471,431,0.96959722465957,0.9691132704988734
47,34,28,5,0.9071060762100926,0.8142097142365492,4478,4330,474,428,0.9699159137666566,0.9694974242664129
665,5,62,1,0.9071060762100926,0.8142097142365492,4478,4330,474,428,0.9699238693261798,0.9696056288979977
813,baseline,1,14,0.9071060762100926,0.8141964739198045,4471,4337,467,435,0.9697845091381587,0.9694202107348047
40,34,6,2,0.9071060762100926,0.8141900088592092,4464,4344,460,442,0.9697943528171422,0.969108957608373
727,3,baseline,57,0.9070030895983522,0.8139846008796774,4456,4351,453,450,0.9691019009162429,0.9683670227630408
651,5,3,62,0.9070030895983522,0.8139897734915359,4470,4337,467,436,0.9695340681243685,0.9689341023078379
743,62,31,57,0.9070030895983522,0.81399622703619,4474,4333,471,432,0.9695484305611608,0.9688253636033324
606,35,3,62,0.9070030895983522,0.8139897734915359,4470,4337,467,436,0.9693891284372684,0.9686024688385677
812,baseline,1,57,0.9070030895983522,0.8139833150193088,4460,4347,457,446,0.9695055341842118,0.9690838941344116
185,37,17,2,0.9070030895983522,0.8140048927280676,4478,4329,475,428,0.9698108155216487,0.9691395549679318
736,62,27,1,0.9070030895983522,0.8139863847878966,4467,4340,464,439,0.9696004705278555,0.9691150463468454
660,5,62,27,0.9070030895983522,0.81399440627934,4473,4334,470,433,0.9693889375038399,0.9688439342846553
807,2,baseline,57,0.9070030895983522,0.8139855316540382,4466,4341,463,440,0.969214912291123,0.9684571139263538
671,5,27,baseline,0.9070030895983522,0.81399622703619,4474,4333,471,432,0.9692417066155973,0.9686518025737538
658,5,3,57,0.9070030895983522,0.8139835011377771,4462,4345,459,444,0.9692568752157548,0.9685913574898588
735,62,27,baseline,0.9070030895983522,0.8139848167274926,4465,4342,462,441,0.9692451009876604,0.9685784383384869
194,37,35,31,0.9070030895983522,0.8140526509340801,4492,4315,489,414,0.9696699490810248,0.9688830978861097
407,6,3,62,0.9070030895983522,0.8139863847878966,4467,4340,464,439,0.969534640924654,0.9687913213890964
218,37,3,57,0.9070030895983522,0.8139911795138891,4471,4336,468,435,0.9692483256411204,0.9684891145497236
482,28,5,1,0.9070030895983522,0.814028862584704,4486,4321,483,420,0.9699030151528163,0.9695425285060466
637,35,43,baseline,0.9070030895983522,0.8139885057006156,4469,4338,466,437,0.9694926143555462,0.9688602848659136
230,37,27,2,0.9070030895983522,0.8140074048557693,4479,4328,476,427,0.9693329091499713,0.9684372327305301
520,28,2,baseline,0.9070030895983522,0.8140048927280676,4478,4329,475,428,0.9695359986734794,0.9687721751663965
353,47,2,57,0.9070030895983522,0.8139927237742337,4472,4335,469,434,0.9695734216254767,0.9688652857688889
587,17,2,1,0.9070030895983522,0.8139981860519769,4475,4332,472,431,0.9699835466300165,0.9695101088763274
778,27,1,57,0.9070030895983522,0.8139833150193088,4460,4347,457,446,0.9693529147303189,0.968802179373624
703,3,62,14,0.9070030895983522,0.8139863847878966,4467,4340,464,439,0.9695626020645249,0.9688617728563395
592,17,baseline,14,0.9069001029866117,0.8137819117761087,4468,4338,466,438,0.9697081781963869,0.9692688455171942
798,43,2,57,0.9069001029866117,0.8137773540026437,4459,4347,457,447,0.969410194758886,0.9686232085156349
334,47,27,43,0.9069001029866117,0.8137819117761087,4468,4338,466,438,0.969713290969307,0.9690847568507981
89,34,5,57,0.9069001029866117,0.8137773540026437,4459,4347,457,447,0.9696519164794388,0.96919334357036
588,17,2,57,0.9069001029866117,0.8137785044716089,4464,4342,462,442,0.9694894957762131,0.9687988410538434
757,62,1,57,0.9069001029866117,0.81377799806961,4463,4343,461,443,0.9696537833840735,0.9692483923319638
747,62,43,1,0.9069001029866117,0.8137819117761087,4468,4338,466,438,0.9700025551135706,0.9695860716422249
493,28,3,14,0.9069001029866117,0.8137831090549137,4469,4337,467,437,0.9695511460588117,0.9688629323657196
523,28,2,14,0.9069001029866117,0.8137931950188249,4475,4331,473,431,0.9696300864241072,0.9689685455026882
480,28,5,2,0.9069001029866117,0.8138246122705026,4486,4320,484,420,0.9696454459576933,0.9690075753687686
