,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2261,no-easy-80pct,no-easy-95pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,0.9073120494335737,0.8146059592314786,4470,4340,464,436,0.9697422279911462,0.9691977387932579
509,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.9073120494335737,0.8146071621054521,4471,4339,465,435,0.9707804391163364,0.9703131512606725
1633,easiest-interleaved-25pct,no-easy-95pct,hardest-interleaved-10pct,no-hard-95pct,0.9073120494335737,0.8146099828595517,4473,4337,467,433,0.9702947044740879,0.9698131607811076
422,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-hard-90pct,0.9073120494335737,0.814620831119269,4445,4365,439,461,0.9699789217980803,0.9695333889064063
1640,easiest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.9073120494335737,0.8146152516061497,4476,4334,470,430,0.969886255440754,0.9693523734597687
1747,baseline,no-easy-80pct,no-easy-90pct,easiest-interleaved-50pct,0.9073120494335737,0.8146071621054521,4471,4339,465,435,0.9698774300733898,0.9693475294568233
1645,easiest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9073120494335737,0.8146099828595517,4473,4337,467,433,0.9697525171814627,0.9692042038591132
2087,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-hard-90pct,0.9073120494335737,0.814618577143162,4446,4364,440,460,0.970005525189126,0.9695164799250122
1070,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,hardest-interleaved-10pct,no-hard-90pct,0.9073120494335737,0.81460153754966,4460,4350,454,446,0.9705274947531494,0.9700756730898316
1652,easiest-interleaved-25pct,no-easy-90pct,easiest-interleaved-50pct,no-hard-90pct,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.9693408647094942,0.9686757371588453
2810,easiest-interleaved-10pct,no-easy-90pct,hardest-interleaved-10pct,no-hard-90pct,0.9073120494335737,0.8146018559754152,4459,4351,453,447,0.9697789296390799,0.9692278308769204
